,logFC,AveExpr,t,adj.P.Val,B,EntrezID,symbols,P.Value,Rank_1,HPO_Freq,NewP.value,Rank_2,Rank_1-Rank2
228298_at,0.280531326,6.390717789,2.091421997,0.503054011,-3.943560424,91523,PCED1B,0.048649105,3456,0,0.048649105,4875,-1419
225033_at,-0.417340358,5.126079398,-2.091373643,0.503054011,-3.943639568,6482,ST3GAL1,0.048653857,3457,0,0.048653857,4876,-1419
234306_s_at,0.218305008,9.359189659,2.091145907,0.503190313,-3.944012298,57823,SLAMF7,0.048676243,3458,0,0.048676243,4877,-1419
225754_at,0.137676579,7.990107106,2.090847132,0.503192911,-3.944501259,164,AP1G1,0.048705626,3459,0,0.048705626,4878,-1419
208788_at,0.062902329,10.96768675,1.079968161,0.76622707,-5.292925815,60481,ELOVL5,0.292235015,10872,5,0.048705836,4879,5993
214462_at,0.143229971,4.905384312,2.090683657,0.503192911,-3.944768776,9306,SOCS6,0.04872171,3460,0,0.04872171,4880,-1420
226337_at,-0.026079192,7.625200529,-0.219213928,0.964748593,-5.813439586,92344,GORAB,0.82857063,18636,16,0.048739449,4881,13755
214481_at,-0.25631687,5.722975617,-2.090459396,0.503192911,-3.945135743,8336,HIST1H2AM,0.048743782,3461,0,0.048743782,4882,-1421
212458_at,-0.469729702,5.633908798,-2.090458291,0.503192911,-3.945137551,200734,SPRED2,0.04874389,3462,0,0.04874389,4883,-1421
238312_s_at,0.175896103,4.192162004,2.090367969,0.503192911,-3.945285342,8703,B4GALT3,0.048752783,3463,0,0.048752783,4884,-1421
1553540_a_at,0.153488943,5.785537546,2.090350625,0.503192911,-3.945313722,3177,SLC29A2,0.04875449,3464,0,0.04875449,4885,-1421
235442_at,0.193875911,4.650514605,2.09025759,0.503192911,-3.945465947,63932,CXorf56,0.048763651,3465,0,0.048763651,4886,-1421
1558501_at,-0.201473133,3.039756492,-2.090114639,0.503192911,-3.945699836,26052,DNM3,0.048777731,3466,0,0.048777731,4887,-1421
