,logFC,AveExpr,t,adj.P.Val,B,EntrezID,symbols,P.Value,Rank_1,HPO_Freq,NewP.value,Rank_2,Rank_1-Rank2
1559280_a_at,-2.013753882,5.063868572,-7.229574504,0.010064791,5.904615915,100506013,APELA,3.69E-07,1,0,0.000000369,1,0
228006_at,-0.380223525,8.30126761,-5.36316235,0.049170924,2.500370765,5728,PTEN,2.44E-05,22,54,4.44E-07,2,20
1555764_s_at,-0.598406047,10.54168591,-7.061104733,0.010064791,5.621337306,26519,TIMM10,5.29E-07,2,0,0.000000529,3,-1
236295_s_at,-0.478957613,7.300195464,-7.041126967,0.010064791,5.587415344,197358,NLRC3,5.52E-07,3,0,0.000000552,4,-1
213379_at,-0.878872299,7.271824917,-5.569717011,0.03740409,2.903908936,27235,COQ2,1.51E-05,20,18,7.95E-07,5,15
202053_s_at,0.385904651,9.204682718,5.604310318,0.03615168,2.970919952,224,ALDH3A2,1.39E-05,19,16,8.18E-07,6,13
209603_at,-0.36546944,4.92038368,-5.670790755,0.034236702,3.099221319,2625,GATA3,1.19E-05,17,10,1.08E-06,7,10
208641_s_at,-0.291911152,10.53339657,-6.443214103,0.019115987,4.540129908,5879,RAC1,2.05E-06,4,0,0.00000205,8,-4
212899_at,-0.403120595,8.295699126,-6.381082973,0.019115987,4.42779802,23097,CDK19,2.35E-06,5,0,0.00000235,9,-4
218746_at,0.673096065,7.445176134,6.359957297,0.019115987,4.389455907,55080,TAPBPL,2.47E-06,6,0,0.00000247,10,-4
238149_at,0.693963517,3.796054256,6.345129975,0.019115987,4.362500539,390963,ZNF818P,2.55E-06,7,0,0.00000255,11,-4
201739_at,1.435320312,6.888368355,6.205429245,0.021232148,4.106743794,6446,SGK1,3.50E-06,8,0,0.0000035,12,-4
210662_at,-0.566040835,3.792059612,-5.13207563,0.052333985,2.04241361,8942,KYNU,4.21E-05,38,8,4.68E-06,13,25
210062_s_at,0.47244732,6.966735046,6.023054611,0.028915103,3.76807776,51385,ZNF589,5.29E-06,9,0,0.00000529,14,-5
216627_s_at,0.906811211,5.433156177,5.102978662,0.052886129,1.984301777,2683,B4GALT1,4.51E-05,40,7,5.64E-06,15,25
238846_at,-1.451893419,4.763654443,-5.199265072,0.049170924,2.176231427,8792,TNFRSF11A,3.59E-05,33,5,5.98E-06,16,17
212989_at,-0.787415092,8.413230542,-5.861588016,0.034236702,3.463841263,259230,SGMS1,7.66E-06,10,0,0.00000766,17,-7
235318_at,-0.272673872,3.421383704,-4.033827245,0.160874592,-0.198070265,2200,FBN1,0.000585533,161,67,8.61E-06,18,143
218705_s_at,-0.743255282,5.385749631,-5.807487919,0.034236702,3.361007325,28966,SNX24,8.67E-06,11,0,0.00000867,19,-8
242702_at,-0.384425792,4.586340331,-4.691277324,0.07750307,1.152839811,166785,MMAA,0.000120489,72,12,9.27E-06,20,52
202931_x_at,-0.596644806,7.684954575,-4.548506044,0.091401813,0.861161623,274,BIN1,0.000169727,87,17,9.43E-06,21,66
203665_at,0.83562233,7.105236069,5.168104104,0.049170924,2.11423503,3162,HMOX1,3.87E-05,37,3,0.000009675,22,15
1552296_at,-0.222453603,3.546133034,-5.759279008,0.034236702,3.26899955,266675,BEST4,9.69E-06,12,0,0.00000969,23,-11
218113_at,-0.936713023,6.37688521,-5.758967151,0.034236702,3.268403234,23670,TMEM2,9.70E-06,13,0,0.0000097,24,-11
227182_at,-0.427144901,8.163956479,-5.748213109,0.034236702,3.247831074,203328,SUSD3,9.94E-06,14,0,0.00000994,25,-11
204187_at,-0.734734594,5.644100243,-5.720735925,0.034236702,3.195190259,2766,GMPR,1.06E-05,15,0,0.0000106,26,-11
204141_at,1.226516239,10.18273715,4.75813272,0.071960197,1.288908635,7280,TUBB2A,0.000102659,65,8,1.14E-05,27,38
203038_at,-1.483465402,5.182401773,-5.671537215,0.034236702,3.100658309,5796,PTPRK,1.19E-05,16,0,0.0000119,28,-12
231550_at,1.243357582,6.641450441,5.640640611,0.03488376,3.041112817,NA,NA,1.28E-05,18,0,0.0000128,29,-11
223912_s_at,0.414026109,6.495932755,4.374174821,0.115590978,0.503357118,2055,CLN8,0.000258114,105,19,1.29E-05,30,75
219199_at,0.291967189,4.401943829,4.334931426,0.120190737,0.422619945,27125,AFF4,0.00028368,111,19,0.000014184,31,80
204009_s_at,-0.328855011,8.867907253,-3.772910789,0.186318719,-0.735507164,3845,KRAS,0.001095202,253,74,1.46E-05,32,221
204365_s_at,0.276994727,4.083216473,4.635851306,0.080045425,1.039773601,65055,REEP1,0.000137618,80,8,1.53E-05,33,47
227908_at,-0.270213742,5.964563097,-3.879649175,0.178901417,-0.515889853,57465,TBC1D24,0.000848015,204,47,1.77E-05,34,170
214735_at,-1.01481904,7.945311545,-5.498374276,0.042261574,2.765182588,26034,IPCEF1,1.78E-05,21,0,0.0000178,35,-14
200974_at,0.412530006,8.952306406,4.67520106,0.078696657,1.120068384,59,ACTA2,0.000125224,74,6,1.79E-05,36,38
218943_s_at,-0.551504641,7.567741566,-5.021358422,0.056508253,1.820792284,23586,DDX58,5.48E-05,46,2,1.83E-05,37,9
213361_at,-0.409175745,8.205224853,-5.177100819,0.049170924,2.13214618,23424,TDRD7,3.79E-05,36,1,0.00001895,38,-2
202664_at,-0.224196107,10.63897487,-4.437952937,0.106183093,0.634434458,7456,WIPF1,0.000221397,97,10,0.000020127,39,58
235199_at,-0.69166619,6.596301116,-4.147002953,0.146129252,0.035369039,54941,RNF125,0.000445961,136,21,2.03E-05,40,96
223916_s_at,0.338830268,4.680431107,3.837879334,0.183036888,-0.601887561,54880,BCOR,0.000937363,221,45,2.04E-05,41,180
200678_x_at,0.251206493,9.831985739,4.176954553,0.143588294,0.097135634,2896,GRN,0.000414942,130,18,2.18E-05,42,88
225228_at,-0.282815193,8.640315017,-4.814324188,0.071960197,1.402988794,128338,DRAM2,8.97E-05,55,3,0.000022425,43,12
213106_at,-0.448760359,9.843587867,-5.349779325,0.049170924,2.47402952,10396,ATP8A1,2.52E-05,23,0,0.0000252,44,-21
1557051_s_at,0.487644871,4.379121122,5.312116505,0.049170924,2.399776549,100506311,HOTAIRM1,2.75E-05,24,0,0.0000275,45,-21
1558135_at,0.367577632,4.855050558,5.30231008,0.049170924,2.380413539,6882,TAF11,2.82E-05,25,0,0.0000282,46,-21
220804_s_at,0.449916208,5.503400656,5.275794169,0.049170924,2.327997067,7161,TP73,3.00E-05,26,0,0.00003,47,-21
210776_x_at,0.250842662,10.10340429,4.523649368,0.093818557,0.810244015,6929,TCF3,0.000180173,90,5,3.00E-05,48,42
218816_at,-0.675868735,4.240645258,-5.273834829,0.049170924,2.324120392,55227,LRRC1,3.01E-05,27,0,0.0000301,49,-22
218689_at,-0.260725166,8.217827848,-3.77736382,0.186318719,-0.726354972,2188,FANCF,0.00108359,250,33,3.19E-05,50,200
219010_at,-0.880849669,7.953140305,-5.249053227,0.049170924,2.275047683,55765,C1orf106,3.19E-05,28,0,0.0000319,51,-23
225429_at,-0.363394459,7.082949679,-5.248385311,0.049170924,2.273724028,5537,PPP6C,3.20E-05,29,0,0.000032,52,-23
203123_s_at,0.280409087,5.895692173,4.78561667,0.071960197,1.34474034,4891,SLC11A2,9.61E-05,61,2,3.20E-05,53,8
220993_s_at,-0.338308073,6.13392213,-5.226735227,0.049170924,2.230789284,81491,GPR63,3.37E-05,30,0,0.0000337,54,-24
224758_at,-0.381017419,6.513056384,-5.217002053,0.049170924,2.211468776,647087,STMP1,3.44E-05,31,0,0.0000344,55,-24
221599_at,-0.30175703,7.367886086,-5.20662376,0.049170924,2.190855191,28971,AAMDC,3.53E-05,32,0,0.0000353,56,-24
214306_at,-0.296477902,7.34735905,-4.130786521,0.146129252,0.001923352,4976,OPA1,0.00046371,142,12,0.00003567,57,85
211139_s_at,0.414187336,7.840374516,5.197983424,0.049170924,2.17368378,4664,NAB1,3.60E-05,34,0,0.000036,58,-24
44783_s_at,-1.118325199,8.238775838,-5.183507204,0.049170924,2.144894583,23462,HEY1,3.73E-05,35,0,0.0000373,59,-24
217966_s_at,0.545933204,8.442567798,5.109443858,0.052886129,1.997222171,116496,FAM129A,4.44E-05,39,0,0.0000444,60,-21
204213_at,0.651389857,6.385181968,5.099832054,0.052886129,1.978011736,5284,PIGR,4.55E-05,41,0,0.0000455,61,-20
230637_at,0.301629376,6.662909894,4.089030007,0.147543336,-0.084205217,119559,SFXN4,0.000512725,155,10,4.66E-05,62,93
209987_s_at,-0.482124674,3.841479973,-3.875385353,0.179470956,-0.524671182,429,ASCL1,0.000856734,207,17,4.76E-05,63,144
223679_at,0.282347424,6.178527796,4.162008609,0.145895247,0.066315255,1499,CTNNB1,0.000430142,133,8,4.78E-05,64,69
218887_at,0.451608263,7.92773817,5.074754517,0.054959861,1.927842658,51069,MRPL2,4.83E-05,42,0,0.0000483,65,-23
227144_at,-0.526523097,7.174249539,-5.053870513,0.055444324,1.886010281,23313,KIAA0930,5.07E-05,43,0,0.0000507,66,-23
239928_at,0.246027158,4.30084421,3.620170179,0.205803458,-1.048713461,79867,TCTN2,0.001577285,326,30,5.09E-05,67,259
239843_at,-0.433221198,6.419741993,-3.589175026,0.211264209,-1.112067659,6016,RIT1,0.001698084,342,32,5.15E-05,68,274
242363_at,-0.983789457,6.175710536,-5.045326906,0.055471885,1.868883098,1781,DYNC1I2,5.17E-05,44,0,0.0000517,69,-25
222750_s_at,-0.79988468,7.566839786,-3.819877475,0.185574182,-0.638930272,79644,SRD5A3,0.000978691,226,17,5.44E-05,70,156
201050_at,0.274460463,7.650880785,5.022555836,0.056508253,1.823196246,23646,PLD3,5.46E-05,45,0,0.0000546,71,-26
203446_s_at,-0.256671212,5.318408151,-3.281048192,0.262606413,-1.736423229,4952,OCRL,0.003516845,569,63,5.50E-05,72,497
210627_s_at,0.231745905,7.818089891,3.835997422,0.183210139,-0.605760613,7841,MOGS,0.000941601,222,15,5.89E-05,73,149
202871_at,0.211185913,7.68786195,4.986064689,0.059295749,1.749868139,9618,TRAF4,5.96E-05,47,0,0.0000596,74,-27
212239_at,-0.271748037,8.16880275,-3.463461646,0.229961753,-1.368122361,5295,PIK3R1,0.002288428,426,37,6.02E-05,75,351
217603_at,0.232633753,5.513290474,3.296680122,0.262606413,-1.705039579,23545,ATP6V0A2,0.003390285,546,49,6.78E-05,76,470
210075_at,-0.274057387,6.848739027,-4.929370151,0.065409012,1.635671695,51257,2-Mar,6.82E-05,48,0,0.0000682,77,-29
215977_x_at,-0.265985024,7.439894982,-3.552332796,0.215623258,-1.187266096,2710,GK,0.001853552,368,26,6.87E-05,78,290
223700_at,-0.324760051,8.731426576,-4.902642146,0.066360515,1.581724739,84057,MND1,7.27E-05,49,0,0.0000727,79,-30
204591_at,-1.59581868,4.925880205,-4.897521017,0.066360515,1.57138055,10752,CHL1,7.36E-05,50,0,0.0000736,80,-30
224724_at,0.512835679,5.234731066,4.89616756,0.066360515,1.568646276,55959,SULF2,7.38E-05,51,0,0.0000738,81,-30
215070_x_at,0.344739584,4.560253063,4.894880095,0.066360515,1.566045161,23637,RABGAP1,7.40E-05,52,0,0.000074,82,-30
227687_at,-0.278479631,8.300608562,-3.766031918,0.186534286,-0.749643141,219844,HYLS1,0.001113381,259,14,7.42E-05,83,176
207426_s_at,0.702698548,8.089212563,3.965740158,0.171667074,-0.338478835,7292,TNFSF4,0.000689654,167,8,7.66E-05,84,83
229167_at,-0.215412584,7.904648456,-3.688064272,0.196111416,-0.909679447,5813,PURA,0.001341485,294,16,7.89E-05,85,209
1562488_at,0.511632077,5.588345201,3.20535809,0.275187959,-1.887844336,63895,PIEZO2,0.004197603,634,52,7.92E-05,86,548
203909_at,-0.219853276,8.37880276,-3.39370171,0.242547546,-1.509478849,10479,SLC9A6,0.002698487,473,33,7.94E-05,87,386
215897_at,-0.18105892,3.751242136,-3.543449844,0.216704689,-1.205378572,81857,MED25,0.001893082,373,22,8.23E-05,88,285
226666_at,-0.795628668,6.985049283,-4.84788637,0.071960197,1.470995423,23002,DAAM1,8.28E-05,53,0,0.0000828,89,-36
201540_at,-1.059078278,5.6802332,-3.688803048,0.196111416,-0.908164788,2273,FHL1,0.00133912,292,15,0.000083695,90,202
225008_at,-0.309702012,4.149939377,-4.01140115,0.168938536,-0.24432319,444,ASPH,0.000617974,162,6,0.000088282,91,71
209054_s_at,-0.244595693,8.962391235,-4.820156655,0.071960197,1.414814262,7468,NSD2,8.85E-05,54,0,0.0000885,92,-38
222068_s_at,0.465201654,5.691654342,4.361072235,0.115590978,0.476407141,123872,DNAAF1,0.000266383,108,2,8.88E-05,93,15
229394_s_at,-0.372187876,8.214147608,-4.812625369,0.071960197,1.399543834,2909,ARHGAP35,9.01E-05,56,0,0.0000901,94,-38
210705_s_at,-0.366016565,8.714078486,-4.811053072,0.071960197,1.396355217,85363,TRIM5,9.05E-05,57,0,0.0000905,95,-38
213455_at,0.50471946,6.008748629,4.807195173,0.071960197,1.388530481,92689,FAM114A1,9.13E-05,58,0,0.0000913,96,-38
1554618_at,0.510156969,5.153068581,4.797319896,0.071960197,1.368495167,3268,AGFG2,9.35E-05,59,0,0.0000935,97,-38
1558761_a_at,0.556738524,6.138681126,4.792159325,0.071960197,1.358021859,158293,FAM120AOS,9.46E-05,60,0,0.0000946,98,-38
1569377_at,0.182415052,3.066168049,3.16609522,0.280360533,-1.966016235,91147,TMEM67,0.004599508,677,46,9.79E-05,99,578
225252_at,0.474489346,7.122958564,4.774038237,0.071960197,1.321227313,140809,SRXN1,9.88E-05,62,0,0.0000988,100,-38
235537_at,0.380823788,5.323752903,4.770247338,0.071960197,1.313526445,54940,OCIAD1,9.97E-05,63,0,0.0000997,101,-38
1559747_at,0.177039627,4.285033038,3.377651447,0.244768645,-1.541917774,80208,SPG11,0.002802554,485,27,0.000100091,102,383
203282_at,-0.459875178,10.77657744,-3.514689337,0.222824866,-1.263969768,2632,GBE1,0.002026837,388,19,0.000101342,103,285
229584_at,-1.12910411,5.908294108,-4.763392526,0.071960197,1.299598455,120892,LRRK2,0.000101375,64,0,0.000101375,104,-40
214221_at,-0.32245016,6.700006302,-3.30217949,0.262606413,-1.69399007,7840,ALMS1,0.003346824,539,31,0.000104588,105,434
227176_at,-1.155035637,5.75471997,-4.746019529,0.07313993,1.264281589,114134,SLC2A13,0.00010568,66,0,0.00010568,106,-40
235278_at,-1.357061372,8.472267761,-4.738469992,0.073543256,1.248926739,140733,MACROD2,0.000107608,67,0,0.000107608,107,-40
227156_at,-0.477736703,4.851724223,-3.176468346,0.280360533,-1.94538961,8573,CASK,0.004489839,662,39,0.000112246,108,554
226143_at,-0.213642886,8.86817524,-3.106856364,0.28940471,-2.083434634,10743,RAI1,0.005277302,746,46,0.000112283,109,637
235240_at,-0.247177515,6.765690934,-3.537613433,0.218643537,-1.217275051,4287,ATXN3,0.001919504,377,16,0.000112912,110,267
244261_at,0.49892856,6.95714594,4.713239009,0.076078177,1.197576771,163702,IFNLR1,0.000114312,68,0,0.000114312,111,-43
214030_at,-0.669474196,6.277763109,-4.712255218,0.076078177,1.195573544,131544,CRYBG3,0.000114582,69,0,0.000114582,112,-43
202368_s_at,0.60406641,6.51368209,4.70895538,0.076078177,1.188853756,9697,TRAM2,0.000115491,70,0,0.000115491,113,-43
206332_s_at,-0.226595919,11.96365345,-4.702774146,0.076294239,1.176264013,3428,IFI16,0.000117215,71,0,0.000117215,114,-43
224950_at,-0.302477807,4.780067116,-4.680313467,0.078641865,1.130492123,5738,PTGFRN,0.000123698,73,0,0.000123698,115,-42
205313_at,-0.370061722,7.902686882,-3.713094467,0.193054745,-0.858342182,6928,HNF1B,0.001263632,281,9,0.000126363,116,165
206390_x_at,-0.233596567,5.285045861,-4.665928335,0.079551673,1.101157168,5196,PF4,0.000128039,75,0,0.000128039,117,-42
205168_at,0.423016896,6.058424403,3.589642098,0.211264209,-1.111113557,4921,DDR2,0.001696197,341,12,0.000130477,118,223
201750_s_at,0.226277237,6.4407481,3.476549818,0.227427541,-1.34153901,1889,ECE1,0.002218604,420,16,0.000130506,119,301
237640_at,0.353010437,5.345179849,4.656415652,0.080045425,1.08175,79609,VCPKMT,0.000130994,76,0,0.000130994,120,-44
212727_at,-0.240648254,5.897221089,-3.619522277,0.205803458,-1.050038575,1741,DLG3,0.001579721,328,11,0.000131643,121,207
235405_at,0.583407856,5.267678634,4.640092521,0.080045425,1.048433333,2941,GSTA4,0.000136225,77,0,0.000136225,122,-45
226148_at,-0.361716688,8.346832172,-4.639646275,0.080045425,1.047522247,29068,ZBTB44,0.000136371,78,0,0.000136371,123,-45
207793_s_at,0.375501382,4.132427889,4.638416536,0.080045425,1.045011452,2035,EPB41,0.000136774,79,0,0.000136774,124,-45
230557_at,0.601513486,5.914618867,4.626872908,0.080927656,1.0214373,143570,XRRA1,0.000140615,81,0,0.000140615,125,-44
202383_at,0.276385512,6.985913115,3.146010962,0.285631201,-2.005898305,8242,KDM5C,0.004819273,692,33,0.000141743,126,566
207968_s_at,0.288586958,8.81166623,3.243751914,0.266210151,-1.811150564,4208,MEF2C,0.003837667,602,26,0.000142136,127,475
228739_at,-1.254099211,5.66346406,-4.62115581,0.081190966,1.009758523,192668,CYS1,0.000142558,82,0,0.000142558,128,-46
215707_s_at,0.175559018,6.445273381,3.115059041,0.288363552,-2.067215195,5621,PRNP,0.005177989,731,35,0.000143833,129,602
208992_s_at,0.257924524,10.04747268,3.404970393,0.241996755,-1.486684436,6774,STAT3,0.00262769,462,17,0.000145983,130,332
202781_s_at,-0.217167082,7.527518267,-4.609719759,0.08259001,0.986390441,51763,INPP5K,0.000146525,83,0,0.000146525,131,-48
209301_at,-0.741490132,6.076324084,-3.47916599,0.227427541,-1.336223068,760,CA2,0.0022049,416,14,0.000146993,132,284
227239_at,-0.265935615,9.632466344,-3.459693568,0.229961753,-1.375772187,84668,FAM126A,0.002308926,430,14,0.000153928,133,297
238716_at,0.219537336,4.522403937,4.587990704,0.086124782,0.941965684,100506990,LOC100506990,0.000154371,84,0,0.000154371,134,-50
204569_at,-0.315003279,5.036562953,-3.543122143,0.216704689,-1.206046618,22858,ICK,0.001894556,375,11,0.00015788,135,240
219209_at,-0.242850016,10.01745976,-3.12292036,0.288215006,-2.051658674,64135,IFIH1,0.005084507,718,31,0.000158891,136,582
225564_at,-0.420068173,7.859973421,-4.574641597,0.088031997,0.914658243,221178,SPATA13,0.0001594,85,0,0.0001594,137,-52
222873_s_at,0.331250115,6.128710667,2.914826558,0.324765002,-2.459134407,79813,EHMT1,0.008203026,1007,50,0.000160844,138,869
228813_at,-0.188957052,3.916474309,-3.009617639,0.307823178,-2.274680855,9759,HDAC4,0.006604053,867,40,0.000161074,139,728
235609_at,-0.282643372,7.899144074,-3.062289924,0.298535524,-2.17132697,83990,BRIP1,0.005849887,792,35,0.000162497,140,652
218090_s_at,-0.231890986,9.066935592,-3.336446824,0.255269566,-1.62504068,55717,WDR11,0.003087998,514,18,0.000162526,141,373
238012_at,0.35418359,6.170091697,4.563669513,0.089478834,0.89220479,29952,DPP7,0.000163656,86,0,0.000163656,142,-56
214430_at,0.22058246,9.082173398,3.123308488,0.288215006,-2.050890317,2717,GLA,0.005079934,716,29,0.000169331,143,573
230012_at,-0.335016525,5.53124393,-4.545680514,0.091401813,0.855375538,284029,LINC00324,0.000170883,88,0,0.000170883,144,-56
225464_at,1.370196049,5.564692712,4.542513639,0.091401813,0.848889877,122786,FRMD6,0.000172188,89,0,0.000172188,145,-56
242439_s_at,0.352853881,6.970259305,2.957442225,0.320657538,-2.3764648,171023,ASXL1,0.007442884,933,40,0.000181534,146,787
203305_at,-1.649185704,6.898322268,-4.058667771,0.152310352,-0.146833595,2162,F13A1,0.000551577,160,2,0.000183859,147,13
203045_at,0.25069473,7.104131257,4.493470219,0.099925252,0.748375395,4814,NINJ1,0.000193728,91,0,0.000193728,148,-57
244614_at,0.429119347,4.109775687,3.486140879,0.227192518,-1.322046817,10342,TFG,0.002168768,410,10,0.000197161,149,261
203157_s_at,0.404187368,7.717012477,4.479146604,0.102459688,0.718993678,2744,GLS,0.000200516,92,0,0.000200516,150,-58
1557675_at,0.197071528,5.944067739,2.923302982,0.323050657,-2.442725515,5894,RAF1,0.008046135,988,38,0.000206311,151,837
203921_at,0.518851901,8.768295769,4.464877321,0.104272812,0.689712572,9435,CHST2,0.000207515,93,0,0.000207515,152,-59
206761_at,-0.270767514,4.257000256,-2.863820043,0.333930675,-2.557500713,10225,CD96,0.009210759,1095,43,0.000209335,153,942
242625_at,-1.353037379,5.729866819,-4.460713151,0.104272812,0.681165548,91543,RSAD2,0.000209603,94,0,0.000209603,154,-60
205933_at,0.482047168,5.857500234,2.755405375,0.358084167,-2.764319843,26040,SETBP1,0.011759187,1292,55,0.000209985,155,1137
224882_at,-0.27851271,7.527529876,-4.459006215,0.104272812,0.677661779,84532,ACSS1,0.000210465,95,0,0.000210465,156,-61
204325_s_at,0.419799357,5.23019663,3.037821711,0.302500394,-2.21941133,4763,NF1,0.006189282,827,28,0.000213424,157,670
203973_s_at,-0.61200679,5.468046237,-4.446852751,0.105790256,0.65271054,1052,CEBPD,0.000216708,96,0,0.000216708,158,-62
212172_at,0.390787505,4.856643654,3.696628324,0.196111416,-0.892118988,204,AK2,0.001314329,286,5,0.000219055,159,127
213686_at,-0.333873228,6.69106761,-2.955864657,0.320657538,-2.379532712,23230,VPS13A,0.007469777,936,33,0.000219699,160,776
206849_at,-0.246894171,3.875827835,-3.688237064,0.196111416,-0.909325189,2566,GABRG2,0.001340931,293,5,0.000223489,161,132
239084_at,-0.517152113,5.987963049,-2.934192946,0.322277404,-2.421619127,9342,SNAP29,0.007848788,972,34,0.000224251,162,810
235729_at,0.602369263,5.238452738,4.431539184,0.106495986,0.621261214,84874,ZNF514,0.000224839,98,0,0.000224839,163,-65
201403_s_at,-0.541725417,10.22747041,-4.429499423,0.106495986,0.617071326,4259,MGST3,0.000225945,99,0,0.000225945,164,-65
232708_at,0.204321735,4.955253024,3.290297284,0.262606413,-1.717858579,2592,GALT,0.003441417,555,14,0.000229428,165,390
228256_s_at,-1.058788757,4.679483371,-4.403034641,0.112002288,0.562692379,64097,EPB41L4A,0.000240798,100,0,0.000240798,166,-66
235176_at,0.191232569,6.469058217,4.401439068,0.112002288,0.559412841,284406,ZFP82,0.000241724,101,0,0.000241724,167,-66
226641_at,-0.376931594,8.974440268,-4.397469592,0.11212689,0.551253503,91526,ANKRD44,0.000244044,102,0,0.000244044,168,-66
209189_at,0.358372135,4.672559498,3.293090125,0.262606413,-1.712250309,2353,FOS,0.003418952,551,13,0.000244211,169,382
237316_at,-0.400053766,5.216803471,-4.390205133,0.113153152,0.536319499,348094,ANKDD1A,0.000248347,103,0,0.000248347,170,-67
221489_s_at,-0.361391676,4.877230464,-3.110454926,0.288821753,-2.076320663,81848,SPRY4,0.005233508,739,20,0.000249215,171,568
234072_at,0.482048204,6.495902334,3.281664492,0.262606413,-1.735186601,64218,SEMA4A,0.003511769,566,13,0.000250841,172,394
1556257_at,0.302826458,3.659920005,4.385656649,0.113452941,0.526967751,645513,LOC645513,0.00025108,104,0,0.00025108,173,-69
228177_at,-0.160354393,6.21126196,-2.715660037,0.3630635,-2.839316989,1387,CREBBP,0.012851389,1376,50,0.000251988,174,1202
205281_s_at,0.258545035,7.108983473,2.732752569,0.362480887,-2.807120911,5277,PIGA,0.012370393,1342,48,0.000252457,175,1167
214023_x_at,1.015065468,9.421098059,3.374410707,0.244768645,-1.548463558,347733,TUBB2B,0.002824037,489,10,0.000256731,176,313
219534_x_at,-0.228456519,4.625354877,-2.913819614,0.325027735,-2.461082524,1028,CDKN1C,0.008221858,1009,31,0.000256933,177,832
212820_at,-0.595630846,7.482293675,-3.560079742,0.214385541,-1.171463972,23312,DMXL2,0.00181974,362,6,0.000259963,178,184
234998_at,-0.367287782,6.927545578,-4.370012872,0.115590978,0.494797379,8766,RAB11A,0.000260712,106,0,0.000260712,179,-73
209816_at,-0.132191372,3.54772775,-2.791812097,0.348397444,-2.69522535,5727,PTCH1,0.010836574,1221,40,0.000264307,180,1041
205628_at,-0.251940522,7.348332186,-4.364023913,0.115590978,0.482478875,5558,PRIM2,0.000264497,107,0,0.000264497,181,-74
205290_s_at,-0.282906693,3.916014374,-3.168348764,0.280360533,-1.96153676,650,BMP2,0.004575464,673,16,0.000269145,182,491
219067_s_at,-0.206634055,9.261519328,-4.347722333,0.117729071,0.448941621,54780,NSMCE4A,0.00027508,109,0,0.00027508,183,-74
201719_s_at,-0.591986625,9.076707886,-4.346913282,0.117729071,0.447276899,2037,EPB41L2,0.000275616,110,0,0.000275616,184,-74
244662_at,-0.110701004,3.926220321,-2.751582526,0.358449311,-2.771553269,55777,MBD5,0.011860282,1299,42,0.000275821,185,1114
214196_s_at,0.274380303,7.010687983,3.086753613,0.293838162,-2.123129329,1200,TPP1,0.005528541,766,19,0.000276427,186,580
222515_x_at,0.210954713,5.303261182,3.128196211,0.288215006,-2.041211899,55858,TMEM165,0.005022688,708,17,0.000279038,187,521
1554237_at,-0.293122123,4.784052336,-3.001173787,0.311460046,-2.291194276,10806,SDCCAG8,0.006733347,875,23,0.000280556,188,687
202154_x_at,0.186741678,9.794836612,3.116683212,0.288363552,-2.064002135,10381,TUBB3,0.005158541,727,17,0.000286586,189,538
217057_s_at,-0.165335254,3.73979691,-2.751178121,0.358449311,-2.772318219,2778,GNAS,0.011871025,1301,40,0.000289537,190,1111
233874_at,0.496389734,5.336573537,4.324197177,0.120986981,0.400526056,57606,SLAIN2,0.000291105,112,0,0.000291105,191,-79
219525_at,1.334282968,6.94021423,4.32278754,0.120986981,0.397624357,55244,SLC47A1,0.000292095,113,0,0.000292095,192,-79
235710_at,0.190739096,4.817923527,3.212578397,0.275187959,-1.873439997,55275,VPS53,0.0041275,626,13,0.000294821,193,433
201966_at,-0.125413621,10.63248557,-2.922370352,0.323050657,-2.444531775,4720,NDUFS2,0.008063255,994,26,0.000298639,194,800
205511_at,0.400897765,4.085056122,4.313516191,0.121302854,0.378537894,55056,GABPB1-IT1,0.000298687,114,0,0.000298687,195,-81
213817_at,-1.294342203,5.231400142,-4.307672694,0.121779598,0.366506727,11213,IRAK3,0.000302918,115,0,0.000302918,196,-81
213233_s_at,-0.261058714,9.188119526,-4.301782966,0.122616842,0.354379269,55958,KLHL9,0.000307243,116,0,0.000307243,197,-81
226450_at,-0.462186478,6.71410225,-2.874518949,0.332612801,-2.536921852,3643,INSR,0.008990033,1076,28,0.000310001,198,878
203126_at,-0.532315218,7.283592519,-4.296452732,0.123300272,0.343402925,3613,IMPA2,0.000311211,117,0,0.000311211,199,-82
1562236_at,-0.103300366,2.880868736,-2.592481862,0.383864699,-3.068682156,23522,KAT6B,0.016878111,1692,53,0.000312558,200,1492
200816_s_at,-0.203367834,8.726031794,-3.375222418,0.244768645,-1.546824159,5048,PAFAH1B1,0.002818641,488,8,0.000313182,201,287
225263_at,-0.157571404,6.937739568,-3.03157422,0.302500394,-2.231668722,9394,HS6ST1,0.006278937,841,19,0.000313947,202,639
213196_at,-0.323849776,6.477594536,-4.289631932,0.124439754,0.329355857,23361,ZNF629,0.000316363,118,0,0.000316363,203,-85
237346_at,0.353847714,4.601238518,2.904718608,0.327880895,-2.478678872,23483,TGDS,0.008393948,1021,25,0.000322844,204,817
204040_at,-0.898638426,6.214352022,-4.270325714,0.127994479,0.289588419,9781,RNF144A,0.000331413,119,0,0.000331413,205,-86
213298_at,-0.365633507,4.536332075,-4.269061825,0.127994479,0.286984667,4782,NFIC,0.000332423,120,0,0.000332423,206,-86
206662_at,-0.252725133,11.56622705,-4.261903101,0.129308773,0.272236097,2745,GLRX,0.000338201,121,0,0.000338201,207,-86
