gene,p_value,HPO_Freq,Rank_1,New_Pvalue,Rank_2,Rank1-Rank2
DNA2,2.30E-08,13,5,1.64E-09,1,4
HK1,2.44E-08,6,8,3.49E-09,2,6
MYPN,2.17E-08,5,4,3.62E-09,3,1
CTNNA3,2.17E-08,0,1,2.17E-08,4,-3
LRRTM3,2.17E-08,0,2,2.17E-08,5,-3
DNAJC12,2.17E-08,0,3,2.17E-08,6,-3
TET1,2.30E-08,0,6,2.30E-08,7,-1
DDX50,2.44E-08,0,7,2.44E-08,8,-1
ANK3,7.86E-07,7,17,9.83E-08,9,8
DISC1,1.20E-07,0,9,1.20E-07,10,-1
FAM89A,1.20E-07,0,10,1.20E-07,11,-1
GALNT2,1.95E-07,0,11,1.95E-07,12,-1
URB2,1.95E-07,0,12,1.95E-07,13,-1
LOC106558667,1.95E-07,0,13,1.95E-07,14,-1
LOC102152969,1.95E-07,0,14,1.95E-07,15,-1
RAB4A,1.95E-07,0,15,1.95E-07,16,-1
LOC106558700,4.31E-07,0,16,4.31E-07,17,-1
PHYHIPL,8.99E-07,0,18,8.99E-07,18,0
FAM13C,8.99E-07,0,19,8.99E-07,19,0
UBE2D1,2.19E-06,0,20,2.19E-06,20,0
BICC1,2.19E-06,0,21,2.19E-06,21,0
USH2A,0.000139707,16,28,8.22E-06,22,6
ISPD,0.000622276,26,66,2.30E-05,23,43
NBAS,0.000707867,20,75,3.37E-05,24,51
LAMA2,0.000579001,8,62,6.43E-05,25,37
HR,0.000522268,6,58,7.46E-05,26,32
HIPK3,9.43E-05,0,22,9.43E-05,27,-5
TMEM65,9.53E-05,0,23,9.53E-05,28,-5
ITK,0.000644951,5,67,1.07E-04,29,38
SGCD,0.000644951,5,69,1.07E-04,30,39
TACR2,0.000108915,0,24,1.09E-04,31,-7
WT1,0.003440646,25,213,1.32E-04,32,181
CNTNAP5,0.000138054,0,25,1.38E-04,33,-8
YEATS4,0.000139163,0,26,1.39E-04,34,-8
BEST3,0.000139163,0,27,1.39E-04,35,-8
ADK,0.001981989,13,135,1.42E-04,36,99
TPK1,0.001470439,9,115,1.47E-04,37,78
FABP5,0.000150419,0,29,1.50E-04,38,-9
SLC16A9,0.00015069,0,30,1.51E-04,39,-9
EPG5,0.00457171,28,242,1.58E-04,40,202
PDE4D,0.004857616,29,253,1.62E-04,41,212
KAT6B,0.008983935,53,368,1.66E-04,42,326
MBD5,0.008486752,42,353,1.97E-04,43,310
MKKS,0.005225699,25,264,2.01E-04,44,220
PEBP4,0.000211371,0,31,2.11E-04,45,-14
SLC39A14,0.000215653,0,32,2.16E-04,46,-14
EZH2,0.009192189,41,377,2.19E-04,47,330
C15H4orf51,0.000225939,0,33,2.26E-04,48,-15
XYLT1,0.005536499,22,274,2.41E-04,49,225
KIAA1549L,0.000245211,0,34,2.45E-04,50,-16
JAG1,0.006483529,25,296,2.49E-04,51,245
NSD1,0.013400669,51,497,2.58E-04,52,445
CDH23,0.002838624,10,182,2.58E-04,53,129
NCOA7,0.000260554,0,35,2.61E-04,54,-19
SEMA3A,0.004971688,18,256,2.62E-04,55,201
LRIG2,0.002121977,7,140,2.65E-04,56,84
CDYL2,0.000270571,0,36,2.71E-04,57,-21
TSTD2,0.000278424,0,37,2.78E-04,58,-21
ZNF704,0.000292403,0,38,2.92E-04,59,-21
GRIN2A,0.003067106,8,189,3.41E-04,60,129
ABAT,0.003067106,8,191,3.41E-04,61,130
LOC102154218,0.000341405,0,39,3.41E-04,62,-23
CMIP,0.000359979,0,40,3.60E-04,63,-23
AGR2,0.000363388,0,41,3.63E-04,64,-23
PAG1,0.000378823,0,42,3.79E-04,65,-23
CD44,0.000391506,0,43,3.92E-04,66,-23
APIP,0.000391506,0,44,3.92E-04,67,-23
EHF,0.000391506,0,45,3.92E-04,68,-23
CAT,0.000391506,0,46,3.92E-04,69,-23
ABTB2,0.000391506,0,47,3.92E-04,70,-23
LOC102154259,0.000391506,0,48,3.92E-04,71,-23
CNTNAP2,0.003570158,8,214,3.97E-04,72,142
FGFR2,0.037143449,87,1089,4.22E-04,73,1016
CENPN,0.000451382,0,49,4.51E-04,74,-25
HDAC9,0.000453922,0,50,4.54E-04,75,-25
DSG4,0.001423955,2,112,4.75E-04,76,36
FAM65B,0.000475586,0,51,4.76E-04,77,-26
MICU1,0.002381802,4,151,4.76E-04,78,73
AGMO,0.000477506,0,52,4.78E-04,79,-27
AGT,0.00432368,8,234,4.80E-04,80,154
FBN1,0.033407069,67,1029,4.91E-04,81,948
LRRC16A,0.000493508,0,53,4.94E-04,82,-29
BTN1A1,0.000493508,0,54,4.94E-04,83,-29
LOC102153019,0.000514843,0,55,5.15E-04,84,-29
RMI2,0.000514843,0,56,5.15E-04,85,-29
REEP4,0.000522268,0,57,5.22E-04,86,-29
PDHX,0.010131117,18,402,5.33E-04,87,315
MEOX2,0.0005344,0,59,5.34E-04,88,-29
PDE6D,0.011512059,20,429,5.48E-04,89,340
TMEM178B,0.000553077,0,60,5.53E-04,90,-30
RGS21,0.000562939,0,61,5.63E-04,91,-30
ACAN,0.008048561,13,339,5.75E-04,92,247
KCND3,0.007571174,12,332,5.82E-04,93,239
SNAP25,0.006427625,10,292,5.84E-04,94,198
PEX3,0.026887283,44,870,5.97E-04,95,775
IMPA1,0.00061215,0,63,6.12E-04,96,-33
PLCB4,0.00552349,8,273,6.14E-04,97,176
SMAD1,0.000614481,0,64,6.14E-04,98,-34
ZNF423,0.012298344,19,460,6.15E-04,99,361
SCGN,0.000621107,0,65,6.21E-04,100,-35
HAVCR1,0.000644951,0,68,6.45E-04,101,-33
LOC102152250,0.00065154,0,70,6.52E-04,102,-32
CLINT1,0.00065154,0,71,6.52E-04,103,-32
CACNA2D3,0.000654358,0,72,6.54E-04,104,-32
HIST1H1T,0.000655052,0,73,6.55E-04,105,-32
LOC488267,0.000655052,0,74,6.55E-04,106,-32
MEF2C,0.018108584,26,633,6.71E-04,107,526
FOXP1,0.011575632,16,433,6.81E-04,108,325
MYH3,0.031812303,44,1005,7.07E-04,109,896
FRAS1,0.015700086,21,571,7.14E-04,110,461
SAMD3,0.00071998,0,76,7.20E-04,111,-35
LOC100856186,0.000736907,0,77,7.37E-04,112,-35
LOC100856200,0.000736907,0,78,7.37E-04,113,-35
LOC100856216,0.000736907,0,79,7.37E-04,114,-35
LOC611113,0.000736907,0,80,7.37E-04,115,-35
COLEC11,0.011064465,14,421,7.38E-04,116,305
KIAA0319,0.000746002,0,81,7.46E-04,117,-36
KCNMB4,0.000747972,0,82,7.48E-04,118,-36
PTPRB,0.000747972,0,83,7.48E-04,119,-36
LOC106558008,0.000753244,0,84,7.53E-04,120,-36
LOC102151344,0.00075644,0,85,7.56E-04,121,-36
PEX5,0.043174822,56,1235,7.57E-04,122,1113
FUCA1,0.021376474,27,739,7.63E-04,123,616
LOC102153856,0.000764483,0,86,7.64E-04,124,-38
LOC102156758,0.000773615,0,87,7.74E-04,125,-38
LOC102155588,0.000779865,0,88,7.80E-04,126,-38
PIEZO2,0.04222918,52,1195,7.97E-04,127,1068
PLCG2,0.003233261,3,202,8.08E-04,128,74
DNAH9,0.000808412,0,89,8.08E-04,129,-40
GLIS3,0.003244972,3,204,8.11E-04,130,74
DYNC2H1,0.017968327,21,629,8.17E-04,131,498
SPG11,0.022999386,27,777,8.21E-04,132,645
TEKT5,0.000822138,0,90,8.22E-04,133,-43
GRID2,0.013872062,15,507,8.67E-04,134,373
PIGN,0.028460084,31,924,8.89E-04,135,789
PPP3CC,0.000891554,0,91,8.92E-04,136,-45
TTR,0.018544455,19,644,9.27E-04,137,507
PTPRR,0.000928815,0,92,9.29E-04,138,-46
RNF217,0.000938808,0,93,9.39E-04,139,-46
UBR1,0.028579275,29,929,9.53E-04,140,789
OPA1,0.012428974,12,464,9.56E-04,141,323
NR3C2,0.009571645,9,390,9.57E-04,142,248
SETBP1,0.05447203,55,1502,9.73E-04,143,1359
SEC24D,0.024784698,24,828,9.91E-04,144,684
PLCB1,0.008205917,7,344,1.03E-03,145,199
TSPAN15,0.001027166,0,94,1.03E-03,146,-52
DGKG,0.001034315,0,95,1.03E-03,147,-52
LOC102151453,0.001035242,0,96,1.04E-03,148,-52
SORBS3,0.001043797,0,97,1.04E-03,149,-52
PIWIL2,0.001043797,0,98,1.04E-03,150,-52
DIS3L2,0.027288305,25,885,1.05E-03,151,734
MRPS22,0.01496023,13,551,1.07E-03,152,399
LOC102153920,0.001139463,0,99,1.14E-03,153,-54
P2RY12,0.002290815,1,147,1.15E-03,154,-7
CPNE4,0.001149231,0,100,1.15E-03,155,-55
WDR49,0.001153809,0,101,1.15E-03,156,-55
GPC5,0.001175976,0,102,1.18E-03,157,-55
LOC100684157,0.001182989,0,103,1.18E-03,158,-55
LOC488215,0.001182989,0,104,1.18E-03,159,-55
SLX4,0.04429826,36,1265,1.20E-03,160,1105
SLC46A1,0.022925443,18,772,1.21E-03,161,611
PIK3R1,0.046053773,37,1315,1.21E-03,162,1153
DOK2,0.001218275,0,105,1.22E-03,163,-58
GTF2B,0.001220802,0,106,1.22E-03,164,-58
SLCO2A1,0.012268135,9,456,1.23E-03,165,291
RUNX2,0.040720194,32,1170,1.23E-03,166,1004
OPA3,0.019995315,15,693,1.25E-03,167,526
PIK3CA,0.058853342,46,1607,1.25E-03,168,1439
BLM,0.030442013,23,969,1.27E-03,169,800
HDAC4,0.052235108,40,1455,1.27E-03,170,1285
ANKRD11,0.064066938,49,1712,1.28E-03,171,1541
LOC610871,0.00131428,0,107,1.31E-03,172,-65
RASA2,0.031652942,23,999,1.32E-03,173,826
NDUFS4,0.043829171,32,1246,1.33E-03,174,1072
SPARC,0.010729933,7,413,1.34E-03,175,238
ADCK2,0.001342909,0,108,1.34E-03,176,-68
MAPK10,0.001361842,0,109,1.36E-03,177,-68
PAM16,0.024772716,17,825,1.38E-03,178,647
PALD1,0.001384758,0,110,1.38E-03,179,-69
GPC6,0.022250471,15,758,1.39E-03,180,578
TPM3,0.027982013,19,909,1.40E-03,181,728
WWOX,0.036476101,25,1081,1.40E-03,182,899
MEGF11,0.001406458,0,111,1.41E-03,183,-72
GNPAT,0.022839471,15,767,1.43E-03,184,583
C35H6orf52,0.001450739,0,113,1.45E-03,185,-72
PAK1IP1,0.001450739,0,114,1.45E-03,186,-72
NTNG1,0.02331511,15,782,1.46E-03,187,595
SLC12A1,0.036454032,24,1080,1.46E-03,188,892
SERPINI1,0.014691832,9,542,1.47E-03,189,353
BBS7,0.022067045,14,751,1.47E-03,190,561
LRRC72,0.001475031,0,116,1.48E-03,191,-75
ANKMY2,0.001475031,0,117,1.48E-03,192,-75
TSPAN13,0.001475031,0,118,1.48E-03,193,-75
MOCS2,0.025914878,16,851,1.52E-03,194,657
GMNN,0.001534645,0,119,1.53E-03,195,-76
ZBTB20,0.050529982,31,1416,1.58E-03,196,1220
ARHGAP18,0.001583637,0,120,1.58E-03,197,-77
ATP8A2,0.025443215,15,842,1.59E-03,198,644
GRIN3A,0.001591437,0,121,1.59E-03,199,-78
ARHGAP24,0.001591557,0,122,1.59E-03,200,-78
NALCN,0.056018939,34,1553,1.60E-03,201,1352
GCSH,0.020836446,12,713,1.60E-03,202,511
ACOX1,0.056211327,34,1556,1.61E-03,203,1353
WDPCP,0.038554336,23,1118,1.61E-03,204,914
IL2RB,0.00643502,3,293,1.61E-03,205,88
SMARCA2,0.048403798,29,1361,1.61E-03,206,1155
AIP,0.048904736,29,1369,1.63E-03,207,1162
INSR,0.047352764,28,1341,1.63E-03,208,1133
WDR60,0.03267326,19,1020,1.63E-03,209,811
ETV5,0.00165412,0,123,1.65E-03,210,-87
IGF2BP2,0.001694898,0,124,1.69E-03,211,-87
EIF4EBP2,0.00170487,0,125,1.70E-03,212,-87
PPA1,0.001718579,0,126,1.72E-03,213,-87
PEX11B,0.077583805,44,2000,1.72E-03,214,1786
THEMIS,0.001732534,0,127,1.73E-03,215,-88
GAN,0.020836446,11,711,1.74E-03,216,495
TTN,0.015653294,8,569,1.74E-03,217,352
PTCH1,0.072825796,40,1906,1.78E-03,218,1688
CCDC179,0.001797163,0,128,1.80E-03,219,-91
MTNR1B,0.001825036,0,129,1.83E-03,220,-91
SOX5,0.001831121,0,130,1.83E-03,221,-91
DENND2A,0.001864441,0,131,1.86E-03,222,-91
PTPRK,0.001878564,0,132,1.88E-03,223,-91
COL4A4,0.013199265,6,493,1.89E-03,224,269
CACNA1A,0.056759117,29,1568,1.89E-03,225,1343
EYS,0.02280549,11,766,1.90E-03,226,540
LIPH,0.009505945,4,385,1.90E-03,227,158
CTIF,0.001916816,0,133,1.92E-03,228,-95
DDR2,0.025385754,12,840,1.95E-03,229,611
SMOC1,0.049267717,24,1377,1.97E-03,230,1147
AP3M1,0.001981989,0,134,1.98E-03,231,-97
INVS,0.014008282,6,515,2.00E-03,232,283
DPYD,0.030028918,14,962,2.00E-03,233,729
GM2A,0.018221752,8,636,2.02E-03,234,402
NEB,0.038564419,18,1121,2.03E-03,235,886
SLC13A5,0.008160431,3,343,2.04E-03,236,107
MMP13,0.010213526,4,405,2.04E-03,237,168
PROKR2,0.049222051,23,1376,2.05E-03,238,1138
FAM160A1,0.002071637,0,136,2.07E-03,239,-103
GRIN2B,0.018649448,8,651,2.07E-03,240,411
AHR,0.00208331,0,137,2.08E-03,241,-104
KCNQ3,0.031406178,14,992,2.09E-03,242,750
HIPK2,0.002119099,0,138,2.12E-03,243,-105
LOC102153655,0.002119099,0,139,2.12E-03,244,-105
LOC102152919,0.002125773,0,141,2.13E-03,245,-104
FGF3,0.027782576,12,891,2.14E-03,246,645
GRIK2,0.014976809,6,553,2.14E-03,247,306
STAMBP,0.057774499,26,1585,2.14E-03,248,1337
BDNF,0.060362505,27,1637,2.16E-03,249,1388
L3MBTL3,0.002181386,0,142,2.18E-03,250,-108
MCM9,0.006611091,2,306,2.20E-03,251,55
TUBB3,0.040381278,17,1159,2.24E-03,252,907
TMEM163,0.002247882,0,143,2.25E-03,253,-110
PRRG4,0.002262531,0,144,2.26E-03,254,-110
COR13M1,0.002262633,0,145,2.26E-03,255,-110
NIPBL,0.159431335,69,3378,2.28E-03,256,3122
MED12L,0.002290815,0,146,2.29E-03,257,-111
LOC102152416,0.002301848,0,148,2.30E-03,258,-110
TENM2,0.002305551,0,149,2.31E-03,259,-110
KIF7,0.138832958,59,3025,2.31E-03,260,2765
KAT6A,0.058352546,24,1595,2.33E-03,261,1334
GFM1,0.035125019,14,1053,2.34E-03,262,791
ASCC1,0.007043026,2,315,2.35E-03,263,52
LRP2,0.058838243,24,1605,2.35E-03,264,1341
DCDC2,0.00706639,2,316,2.36E-03,265,51
PKHD1,0.018852373,7,655,2.36E-03,266,389
SOGA3,0.002357489,0,150,2.36E-03,267,-117
DHCR7,0.16568596,69,3490,2.37E-03,268,3222
MCU,0.002381802,0,152,2.38E-03,269,-117
PLA2G12B,0.002381802,0,153,2.38E-03,270,-117
P4HA1,0.002381802,0,154,2.38E-03,271,-117
ECD,0.002381802,0,155,2.38E-03,272,-117
FAM149B1,0.002381802,0,156,2.38E-03,273,-117
MYOZ1,0.002381802,0,157,2.38E-03,274,-117
CAMK2G,0.002381802,0,158,2.38E-03,275,-117
RHCE,0.002387376,0,159,2.39E-03,276,-117
FAM172A,0.002411916,0,160,2.41E-03,277,-117
SLC34A1,0.019564641,7,674,2.45E-03,278,396
ADGRA1,0.002454393,0,161,2.45E-03,279,-118
LOC106557994,0.002454393,0,162,2.45E-03,280,-118
CACNG2,0.004911949,1,254,2.46E-03,281,-27
NSMCE2,0.002470757,0,163,2.47E-03,282,-119
LOC106558722,0.002480547,0,164,2.48E-03,283,-119
LOC102156730,0.002480547,0,165,2.48E-03,284,-119
LOC102152850,0.002487862,0,166,2.49E-03,285,-119
USP2,0.002487862,0,167,2.49E-03,286,-119
MFSD8,0.040215586,15,1155,2.51E-03,287,868
ST6GALNAC3,0.002519413,0,168,2.52E-03,288,-120
LOC106558211,0.002536979,0,169,2.54E-03,289,-120
FGD4,0.017836919,6,626,2.55E-03,290,336
LARGE,0.099420457,38,2366,2.55E-03,291,2075
TNS3,0.002561909,0,170,2.56E-03,292,-122
ADCY1,0.002561909,0,171,2.56E-03,293,-122
TMEM244,0.002574194,0,172,2.57E-03,294,-122
SYF2,0.002575226,0,173,2.58E-03,295,-122
PRRX1,0.028341392,10,922,2.58E-03,296,626
GRIA1,0.002579622,0,174,2.58E-03,297,-123
LOC106559684,0.00259615,0,175,2.60E-03,298,-123
FIG4,0.150577788,57,3238,2.60E-03,299,2939
LELP1,0.002634615,0,176,2.63E-03,300,-124
LOC488268,0.002639037,0,177,2.64E-03,301,-124
LRP5,0.087131663,32,2141,2.64E-03,302,1839
WDR73,0.098429141,36,2338,2.66E-03,303,2035
ABCC8,0.087831038,32,2161,2.66E-03,304,1857
UPB1,0.024340971,8,810,2.70E-03,305,505
CYFIP2,0.002711946,0,178,2.71E-03,306,-128
TRMU,0.016272664,5,583,2.71E-03,307,276
AP4E1,0.065351324,23,1738,2.72E-03,308,1430
NRAS,0.183775017,66,3813,2.74E-03,309,3504
NLN,0.002786649,0,179,2.79E-03,310,-131
MEIS2,0.053032006,18,1474,2.79E-03,311,1163
SLC9A9,0.002820069,0,180,2.82E-03,312,-132
CINP,0.002827543,0,181,2.83E-03,313,-132
POLR1D,0.059573413,20,1619,2.84E-03,314,1305
FGF10,0.057005089,19,1571,2.85E-03,315,1256
ADGRG6,0.03723749,12,1091,2.86E-03,316,775
TCOF1,0.071754509,24,1878,2.87E-03,317,1561
TGFBR2,0.086107121,29,2125,2.87E-03,318,1807
NMUR2,0.002879166,0,183,2.88E-03,319,-136
SNX29,0.002888498,0,184,2.89E-03,320,-136
LOC488277,0.002918306,0,185,2.92E-03,321,-136
LOC488279,0.002918306,0,186,2.92E-03,322,-136
FREM1,0.029208803,9,953,2.92E-03,323,630
ZNF862,0.002951689,0,187,2.95E-03,324,-137
ATP6V0E2,0.002951689,0,188,2.95E-03,325,-137
B3GLCT,0.144735422,48,3120,2.95E-03,326,2794
PARK2,0.020716395,6,709,2.96E-03,327,382
NOD2,0.047758561,15,1348,2.98E-03,328,1020
BRAF,0.231038453,76,4529,3.00E-03,329,4200
FANCC,0.118706741,38,2679,3.04E-03,330,2349
ANK1,0.051885887,16,1448,3.05E-03,331,1117
C6H16orf72,0.003067106,0,190,3.07E-03,332,-142
LOC102154574,0.003067106,0,192,3.07E-03,333,-141
METTL22,0.003067106,0,193,3.07E-03,334,-141
TMEM114,0.003067106,0,194,3.07E-03,335,-141
LOC106557729,0.00307923,0,195,3.08E-03,336,-141
EML3,0.003079433,0,196,3.08E-03,337,-141
MTA2,0.003079433,0,197,3.08E-03,338,-141
WDR62,0.04969425,15,1389,3.11E-03,339,1050
LOXHD1,0.006278097,1,291,3.14E-03,340,-49
AFG3L2,0.062905751,19,1684,3.15E-03,341,1343
TOX3,0.003147617,0,198,3.15E-03,342,-144
ABCA1,0.028391718,8,923,3.15E-03,343,580
RPE65,0.063174339,19,1695,3.16E-03,344,1351
SLC36A3,0.003187617,0,199,3.19E-03,345,-146
ACTG2,0.057774499,17,1584,3.21E-03,346,1238
LOC102153888,0.003233261,0,200,3.23E-03,347,-147
SDR42E1,0.003233261,0,201,3.23E-03,348,-147
USP7,0.003239015,0,203,3.24E-03,349,-146
TSFM,0.061744578,18,1656,3.25E-03,350,1306
RPS6KA2,0.003253394,0,205,3.25E-03,351,-146
LOC102155355,0.003266427,0,206,3.27E-03,352,-146
TRIM38,0.003266427,0,207,3.27E-03,353,-146
RTTN,0.039402573,11,1137,3.28E-03,354,783
RIMS3,0.00329418,0,208,3.29E-03,355,-147
LOC102155140,0.00329418,0,209,3.29E-03,356,-147
NT5C1A,0.00329418,0,210,3.29E-03,357,-147
MACF1,0.00329418,0,211,3.29E-03,358,-147
HGSNAT,0.086094006,25,2124,3.31E-03,359,1765
TCF4,0.136534473,40,2980,3.33E-03,360,2620
GRM5,0.003431616,0,212,3.43E-03,361,-149
MYO7A,0.055241664,15,1530,3.45E-03,362,1168
CCBE1,0.127999832,36,2848,3.46E-03,363,2485
CD96,0.152408032,43,3271,3.46E-03,364,2907
AGA,0.128978912,36,2871,3.49E-03,365,2506
TG,0.031406178,8,993,3.49E-03,366,627
POMK,0.112858645,31,2590,3.53E-03,367,2223
BIN1,0.063995076,17,1710,3.56E-03,368,1342
EVC2,0.099913976,27,2371,3.57E-03,369,2002
DCAF17,0.064719839,17,1724,3.60E-03,370,1354
LOC102153324,0.003601481,0,215,3.60E-03,371,-156
ARHGAP31,0.112235423,30,2573,3.62E-03,372,2201
MAT2B,0.003629847,0,216,3.63E-03,373,-157
ACPP,0.003636802,0,217,3.64E-03,374,-157
AUTS2,0.055056498,14,1522,3.67E-03,375,1147
MEFV,0.04429826,11,1267,3.69E-03,376,891
DOCK8,0.01125696,2,425,3.75E-03,377,48
FGFR1,0.270463559,71,5145,3.76E-03,378,4767
ADAMTS18,0.015089859,3,557,3.77E-03,379,178
RIPK4,0.06438139,16,1722,3.79E-03,380,1342
DEPDC1B,0.003792222,0,218,3.79E-03,381,-163
LOC102151646,0.00380096,0,219,3.80E-03,382,-163
MAF,0.119188683,30,2687,3.84E-03,383,2304
WBP4,0.003873933,0,220,3.87E-03,384,-164
ELF1,0.003873933,0,221,3.87E-03,385,-164
ARID1B,0.139728178,35,3034,3.88E-03,386,2648
EIF2AK3,0.089484149,22,2185,3.89E-03,387,1798
PER2,0.015563994,3,565,3.89E-03,388,177
BBS5,0.058838243,14,1606,3.92E-03,389,1217
ERP44,0.004048204,0,222,4.05E-03,390,-168
DPP6,0.040675671,9,1167,4.07E-03,391,776
GHR,0.057005089,13,1572,4.07E-03,392,1180
LOC102151579,0.004073779,0,223,4.07E-03,393,-170
ATP10B,0.004079884,0,224,4.08E-03,394,-170
PTTG1,0.004079884,0,225,4.08E-03,395,-170
RAI1,0.192639841,46,3979,4.10E-03,396,3583
ZP1,0.004102432,0,226,4.10E-03,397,-171
SLC17A2,0.004118542,0,227,4.12E-03,398,-171
LOC100688739,0.004118542,0,228,4.12E-03,399,-171
FAM161A,0.053878483,12,1490,4.14E-03,400,1090
PCCB,0.096118228,22,2290,4.18E-03,401,1889
DYSF,0.012601,2,475,4.20E-03,402,73
LRRC20,0.004233792,0,229,4.23E-03,403,-174
TTLL7,0.004252146,0,230,4.25E-03,404,-174
LMX1B,0.097884364,22,2325,4.26E-03,405,1920
SARS2,0.055388846,12,1535,4.26E-03,406,1129
SLIT2,0.004262724,0,231,4.26E-03,407,-176
KNDC1,0.004267965,0,232,4.27E-03,408,-176
TSEN54,0.069068177,15,1816,4.32E-03,409,1407
CAPN9,0.00432368,0,233,4.32E-03,410,-177
TRPM6,0.017310655,3,605,4.33E-03,411,194
NLRP1,0.017329517,3,606,4.33E-03,412,194
RSPO3,0.004346922,0,235,4.35E-03,413,-178
FGFR3,0.326134215,74,5916,4.35E-03,414,5502
LOC106558292,0.00435959,0,236,4.36E-03,415,-179
CLRN1,0.069840854,15,1834,4.37E-03,416,1418
KCNJ10,0.113509826,25,2597,4.37E-03,417,2180
PAK7,0.004371694,0,237,4.37E-03,418,-181
LAMP5,0.004371694,0,238,4.37E-03,419,-181
CEP164,0.057038195,12,1577,4.39E-03,420,1157
TRPS1,0.132414553,29,2919,4.41E-03,421,2498
SIL1,0.147128208,32,3164,4.46E-03,422,2742
FANCI,0.152168236,33,3264,4.48E-03,423,2841
CYTH4,0.004487356,0,239,4.49E-03,424,-185
SPOCK3,0.004488999,0,240,4.49E-03,425,-185
CPPED1,0.004494297,0,241,4.49E-03,426,-185
SOS1,0.145220847,31,3129,4.54E-03,427,2702
PHKB,0.027238766,5,883,4.54E-03,428,455
MAN2B1,0.191031078,41,3945,4.55E-03,429,3516
FLNB,0.200184945,43,4073,4.55E-03,430,3643
GATA4,0.114195052,24,2606,4.57E-03,431,2175
KRBA2,0.004580529,0,243,4.58E-03,432,-189
AAED1,0.004591497,0,244,4.59E-03,433,-189
KCTD1,0.087295625,18,2146,4.59E-03,434,1712
IL12B,0.009209441,1,380,4.60E-03,435,-55
SMARCB1,0.212114063,45,4260,4.61E-03,436,3824
AARS,0.087797019,18,2159,4.62E-03,437,1722
CDK5RAP2,0.032349266,6,1012,4.62E-03,438,574
TSC2,0.078626498,16,2011,4.63E-03,439,1572
CACNA1B,0.032411487,6,1014,4.63E-03,440,574
GPBP1,0.004630318,0,245,4.63E-03,441,-196
LOC102154138,0.004634321,0,246,4.63E-03,442,-196
TINF2,0.167190723,35,3528,4.64E-03,443,3085
CAPN3,0.02791013,5,895,4.65E-03,444,451
TP63,0.205629555,43,4151,4.67E-03,445,3706
MCC,0.004691038,0,247,4.69E-03,446,-199
LOC102155911,0.004691038,0,248,4.69E-03,447,-199
FAM193B,0.004691038,0,249,4.69E-03,448,-199
DDX41,0.004691038,0,250,4.69E-03,449,-199
FBN2,0.094854934,19,2259,4.74E-03,450,1809
MIR496,0.004749367,0,251,4.75E-03,451,-200
PNPLA2,0.057027651,11,1575,4.75E-03,452,1123
ASAH1,0.1717281,35,3600,4.77E-03,453,3147
KIT,0.100557502,20,2378,4.79E-03,454,1924
VPS13A,0.163108206,33,3431,4.80E-03,455,2976
SCNN1B,0.072067796,14,1886,4.80E-03,456,1430
GRIA4,0.004832863,0,252,4.83E-03,457,-205
TBXAS1,0.01941584,3,666,4.85E-03,458,208
PLIN1,0.014789949,2,546,4.93E-03,459,87
GDF2,0.049320177,9,1380,4.93E-03,460,920
MAP3K19,0.004939342,0,255,4.94E-03,461,-206
EMG1,0.075615392,14,1968,5.04E-03,462,1506
C1H18orf65,0.00505328,0,257,5.05E-03,463,-206
ZNF516,0.00505328,0,258,5.05E-03,464,-206
UBAC2,0.005096075,0,259,5.10E-03,465,-206
CCDC149,0.005110086,0,260,5.11E-03,466,-206
PDE10A,0.005115512,0,261,5.12E-03,467,-206
CHST14,0.184186614,35,3820,5.12E-03,468,3352
HS3ST3A1,0.005124312,0,262,5.12E-03,469,-207
SLC12A6,0.148896502,28,3211,5.13E-03,470,2741
CHRND,0.154734375,29,3312,5.16E-03,471,2841
TCP11L1,0.005184522,0,263,5.18E-03,472,-209
LOC102157247,0.005239222,0,265,5.24E-03,473,-208
AGL,0.073538368,13,1920,5.25E-03,474,1446
HCN1,0.031540709,5,996,5.26E-03,475,521
COL4A3,0.047649849,8,1343,5.29E-03,476,867
TMEM200A,0.005295804,0,266,5.30E-03,477,-211
LOC106557702,0.00530993,0,267,5.31E-03,478,-211
LOC102153931,0.00530993,0,268,5.31E-03,479,-211
CLPB,0.079834535,14,2031,5.32E-03,480,1551
CAMTA1,0.085669051,15,2114,5.35E-03,481,1633
LOC102154209,0.005361841,0,269,5.36E-03,482,-213
KCNIP4,0.005438311,0,270,5.44E-03,483,-213
SEMA3C,0.038072547,6,1106,5.44E-03,484,622
LOC102156848,0.005452334,0,271,5.45E-03,485,-214
PTDSS1,0.180511496,32,3747,5.47E-03,486,3261
HSPG2,0.324581906,58,5890,5.50E-03,487,5403
SOX6,0.005501869,0,272,5.50E-03,488,-216
DNAJC13,0.016623358,2,592,5.54E-03,489,103
ATM,0.122296343,21,2729,5.56E-03,490,2239
MYO9B,0.005590416,0,275,5.59E-03,491,-216
USE1,0.005590416,0,276,5.59E-03,492,-216
CPAMD8,0.005590416,0,277,5.59E-03,493,-216
SIN3B,0.005590416,0,278,5.59E-03,494,-216
ACTN1,0.016864451,2,595,5.62E-03,495,100
PALB2,0.20848411,36,4205,5.63E-03,496,3709
ZEB2,0.231902916,40,4554,5.66E-03,497,4057
SLC15A3,0.005662208,0,279,5.66E-03,498,-219
CLN6,0.079760209,13,2030,5.70E-03,499,1531
